Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-1466.93,1930.59,16.491,µm,Spot,Position,1,96539,
-1463.36,1863.56,22.8761,µm,Spot,Position,1,96540,
-1475.89,1880.15,25.8824,µm,Spot,Position,1,96541,
-1431.59,1852.6,28.6766,µm,Spot,Position,1,96542,
-1465.02,1827.07,58.9892,µm,Spot,Position,1,96543,
-1386.27,1949.21,24.1394,µm,Spot,Position,1,96546,
1107.67,1946.48,2.72609,µm,Spot,Position,1,96550,
-1537.31,1985.98,2.72609,µm,Spot,Position,1,96551,
-1464.27,1994.38,2.72609,µm,Spot,Position,1,96552,
773.21,2089.67,68.6654,µm,Spot,Position,1,96553,
811.875,2050.42,74.8378,µm,Spot,Position,1,96554,
787.016,2051.3,80.758,µm,Spot,Position,1,96555,
1197.4,2054.98,2.72609,µm,Spot,Position,1,96556,
-1804.21,2417.26,47.96,µm,Spot,Position,1,96559,
-1744.15,2428.04,48.1951,µm,Spot,Position,1,96560,
-1703.09,2417.77,80.222,µm,Spot,Position,1,96561,
-103.134,2286.4,2.72609,µm,Spot,Position,1,96562,
-92.9206,2312.39,2.72609,µm,Spot,Position,1,96563,
-40.4162,2406.09,2.72609,µm,Spot,Position,1,96564,
-121.732,2422.55,2.72609,µm,Spot,Position,1,96565,
-44.3637,2387.35,12.2733,µm,Spot,Position,1,96566,
-100.1,2397.36,18.6718,µm,Spot,Position,1,96567,
-90.0668,2424.44,29.2141,µm,Spot,Position,1,96568,
28.7825,2406.55,8.01861,µm,Spot,Position,1,96569,
302.536,2422.7,2.72609,µm,Spot,Position,1,96571,
434.607,2362.63,29.8691,µm,Spot,Position,1,96572,
1407.22,2396.7,67.7787,µm,Spot,Position,1,96574,
1425.8,2373.13,66.6371,µm,Spot,Position,1,96575,
-1792.88,2434.39,61.6411,µm,Spot,Position,1,96577,
-1698.78,2476.38,45.8271,µm,Spot,Position,1,96578,
-1590.97,2534.92,51.4334,µm,Spot,Position,1,96579,
-1647.04,2473.2,75.6728,µm,Spot,Position,1,96580,
-1637.27,2499.43,72.0353,µm,Spot,Position,1,96581,
-1652.83,2438.51,77.8074,µm,Spot,Position,1,96582,
-1686.63,2530.26,81.5042,µm,Spot,Position,1,96583,
-1599.24,2507.94,85.4507,µm,Spot,Position,1,96584,
-628.137,2509.65,2.72609,µm,Spot,Position,1,96585,
-679.935,2528.87,2.72609,µm,Spot,Position,1,96586,
-648.846,2552.2,2.72609,µm,Spot,Position,1,96587,
-636.525,2514.01,29.8519,µm,Spot,Position,1,96588,
-634.635,2563.32,28.9503,µm,Spot,Position,1,96589,
-650.023,2558.55,35.102,µm,Spot,Position,1,96590,
-657.694,2559.64,74.4317,µm,Spot,Position,1,96591,
-681.365,2558.63,78.4193,µm,Spot,Position,1,96592,
-565.412,2577.6,2.72609,µm,Spot,Position,1,96593,
-583.926,2557.95,24.7827,µm,Spot,Position,1,96595,
-597.834,2567.95,45.8623,µm,Spot,Position,1,96597,
-600.928,2527.06,56.1091,µm,Spot,Position,1,96598,
-563.61,2525.87,68.4016,µm,Spot,Position,1,96599,
-555.599,2466.95,76.9728,µm,Spot,Position,1,96600,
-165.852,2455.81,23.4012,µm,Spot,Position,1,96603,
-167.313,2467.14,48.0705,µm,Spot,Position,1,96604,
-183.258,2491.53,55.8231,µm,Spot,Position,1,96605,
-131.099,2457.25,2.72609,µm,Spot,Position,1,96606,
-103.201,2470.29,2.72609,µm,Spot,Position,1,96607,
-94.3064,2492.02,2.72609,µm,Spot,Position,1,96608,
-31.2102,2438.16,5.9756,µm,Spot,Position,1,96609,
-28.1106,2486.01,13.7297,µm,Spot,Position,1,96610,
-69.1416,2458.39,22.8546,µm,Spot,Position,1,96611,
-147.575,2451.57,29.8434,µm,Spot,Position,1,96612,
19.1763,2448.19,2.72609,µm,Spot,Position,1,96613,
1248.11,2478.48,23.7368,µm,Spot,Position,1,96614,
1251.84,2479.85,69.083,µm,Spot,Position,1,96615,
1243.1,2467.44,74.2607,µm,Spot,Position,1,96616,
1268.5,2499.24,2.72609,µm,Spot,Position,1,96617,
1262.82,2584.14,2.72609,µm,Spot,Position,1,96619,
1348.31,2476.86,26.6857,µm,Spot,Position,1,96620,
1337.27,2490.59,25.5385,µm,Spot,Position,1,96621,
1302.62,2530.54,29.8737,µm,Spot,Position,1,96622,
1331.63,2555.86,47.2742,µm,Spot,Position,1,96623,
1262.5,2547.79,57.5476,µm,Spot,Position,1,96624,
1368.26,2513.39,61.8103,µm,Spot,Position,1,96625,
1304.83,2455.26,72.5813,µm,Spot,Position,1,96626,
1327.59,2563.66,74.8539,µm,Spot,Position,1,96627,
1397.85,2468.35,77.9793,µm,Spot,Position,1,96628,
1262.86,2521.72,78.8055,µm,Spot,Position,1,96629,
1283.23,2588.97,81.1198,µm,Spot,Position,1,96630,
-679.902,2592.77,22.5449,µm,Spot,Position,1,96632,
-507.999,2691.09,2.72609,µm,Spot,Position,1,96633,
-487.038,2680.9,12.7513,µm,Spot,Position,1,96634,
-596.347,2591.66,34.353,µm,Spot,Position,1,96635,
-598.754,2602.76,35.1803,µm,Spot,Position,1,96636,
-490.07,2625.34,40.3509,µm,Spot,Position,1,96637,
-620.235,2593.91,51.0763,µm,Spot,Position,1,96638,
-480.848,2650.45,51.2329,µm,Spot,Position,1,96639,
-432.221,2629.95,50.3202,µm,Spot,Position,1,96640,
-256.626,2639.46,2.72609,µm,Spot,Position,1,96641,
-9.80513,2657.11,72.6239,µm,Spot,Position,1,96642,
7.17436,2674.03,2.72609,µm,Spot,Position,1,96643,
1241.65,2646.41,2.72609,µm,Spot,Position,1,96644,
1216.9,2664.22,2.72609,µm,Spot,Position,1,96645,
1252.34,2607.57,32.7632,µm,Spot,Position,1,96646,
1238.47,2609.94,83.8528,µm,Spot,Position,1,96647,
1258.32,2655.86,50.5686,µm,Spot,Position,1,96648,
1303.68,2611.11,72.8765,µm,Spot,Position,1,96649,
1323.53,2637.16,84.6645,µm,Spot,Position,1,96651,
-20.0847,2865.16,68.5695,µm,Spot,Position,1,96652,
15.7842,2851.08,2.72609,µm,Spot,Position,1,96653,
1001.1,2988.94,74.0464,µm,Spot,Position,1,96655,
990.972,3037.76,80.4005,µm,Spot,Position,1,96656,
-220.398,3131.58,79.145,µm,Spot,Position,1,96657,
